transaction_id,montant_eur,region,y_true,y_proba
TX1149,21.26,A,0,0.171
TX1150,125.17,B,0,0.274
TX1151,106.62,B,0,0.083
TX1152,158.09,B,0,0.218
TX1153,72.21,B,0,0.202
TX1154,57.64,B,0,0.099
TX1155,162.79,A,0,0.18
TX1156,131.91,B,0,0.265
TX1157,125.25,A,0,0.107
TX1158,102.86,B,0,0.418
TX1159,137.15,A,0,0.295
TX1160,250.71,A,0,0.195
TX1161,148.61,B,0,0.322
TX1162,175.44,A,1,0.917
TX1163,124.96,B,0,0.016
TX1164,25.1,A,0,0.017
TX1165,170.87,A,0,0.041
TX1166,193.36,B,0,0.305
TX1167,123.95,B,0,0.094
TX1168,208.4,A,0,0.042
TX1169,133.97,A,0,0.068
TX1170,354.32,A,0,0.171
TX1171,48.46,B,0,0.205
TX1172,246.55,A,0,0.079
TX1173,86.92,A,0,0.203
TX1174,101.51,A,0,0.225
TX1175,416.34,A,0,0.34
TX1176,143.09,A,0,0.158
TX1177,78.03,A,0,0.584
TX1178,103.33,A,0,0.109
TX1179,246.39,B,0,0.06
TX1180,87.69,B,0,0.271
TX1181,130.45,B,0,0.368
TX1182,92.27,B,0,0.031
TX1183,126.77,A,0,0.068
TX1184,228.98,B,0,0.173
TX1185,135.13,A,0,0.31
TX1186,131.79,A,0,0.042
TX1187,137.64,B,0,0.139
TX1188,146.18,A,0,0.365
TX1189,200.67,A,0,0.191
TX1190,201.87,B,0,0.093
TX1191,24.78,B,0,0.315
TX1192,97.06,B,0,0.234
TX1193,189.27,A,0,0.278
TX1194,1053.82,B,1,0.694
TX1195,202.3,B,0,0.204
TX1196,385.19,A,0,0.113
TX1197,67.67,A,0,0.204
TX1198,243.83,B,0,0.175
TX1199,221.0,B,0,0.057
